mmsi,arrived,departed,duration_hours
209014000,2024-03-01 00:10:12,2024-03-01 23:59:55,23.83
209114000,2024-03-01 00:01:05,2024-03-01 23:59:56,23.98
209184000,2024-03-01 22:26:38,2024-03-01 23:59:57,1.56
209275000,2024-03-01 00:02:59,2024-03-01 23:59:22,23.94
209297000,2024-03-01 22:46:03,2024-03-01 23:59:53,1.23
209332000,2024-03-01 00:58:22,2024-03-01 23:57:21,22.98
209341000,2024-03-01 00:36:31,2024-03-01 04:40:58,4.07
209535000,2024-03-01 00:02:19,2024-03-01 23:58:01,23.93
209536000,2024-03-01 00:01:11,2024-03-01 23:55:54,23.91
209541000,2024-03-01 00:04:29,2024-03-01 23:59:56,23.92
209610000,2024-03-01 14:59:41,2024-03-01 23:59:41,9.0
209671000,2024-03-01 00:01:14,2024-03-01 23:59:51,23.98
209715000,2024-03-01 00:00:25,2024-03-01 01:13:35,1.22
209717000,2024-03-01 00:11:18,2024-03-01 23:59:51,23.81
209938000,2024-03-01 00:02:23,2024-03-01 23:59:50,23.96
209974000,2024-03-01 00:01:03,2024-03-01 23:58:02,23.95
209977000,2024-03-01 00:05:06,2024-03-01 23:59:53,23.91
209982000,2024-03-01 01:15:25,2024-03-01 02:30:08,1.25
209989000,2024-03-01 00:07:13,2024-03-01 03:37:46,3.51
209992000,2024-03-01 05:54:52,2024-03-01 23:59:51,18.08
210041000,2024-03-01 21:55:22,2024-03-01 23:59:51,2.07
210051000,2024-03-01 00:09:59,2024-03-01 23:58:09,23.8
210061000,2024-03-01 00:46:08,2024-03-01 23:59:56,23.23
210071000,2024-03-01 00:47:24,2024-03-01 07:25:05,6.63
210195000,2024-03-01 05:40:04,2024-03-01 18:22:16,12.7
210290000,2024-03-01 00:05:13,2024-03-01 23:59:25,23.9
210520000,2024-03-01 07:25:35,2024-03-01 23:28:01,16.04
210534000,2024-03-01 21:04:52,2024-03-01 23:59:47,2.92
210543000,2024-03-01 00:01:28,2024-03-01 06:17:55,6.27
210544000,2024-03-01 00:02:45,2024-03-01 23:58:21,23.93
210552000,2024-03-01 00:00:56,2024-03-01 23:59:52,23.98
210803000,2024-03-01 19:53:23,2024-03-01 23:59:52,4.11
211100000,2024-03-01 00:07:20,2024-03-01 23:59:50,23.88
211135000,2024-03-01 05:35:38,2024-03-01 23:59:58,18.41
211223310,2024-03-01 00:04:45,2024-03-01 23:52:46,23.8
211284350,2024-03-01 01:48:10,2024-03-01 23:59:51,22.19
211317180,2024-03-01 00:05:21,2024-03-01 23:59:52,23.91
211341960,2024-03-01 00:04:21,2024-03-01 23:59:58,23.93
211447960,2024-03-01 00:06:51,2024-03-01 23:57:58,23.85
211552710,2024-03-01 00:01:49,2024-03-01 23:59:00,23.95
211686000,2024-03-01 01:30:36,2024-03-01 14:24:54,12.9
211718360,2024-03-01 00:48:00,2024-03-01 23:59:50,23.2
211839040,2024-03-01 00:01:34,2024-03-01 23:59:56,23.97
211870240,2024-03-01 00:03:26,2024-03-01 23:59:54,23.94
212123000,2024-03-01 00:01:56,2024-03-01 02:18:44,2.28
212198000,2024-03-01 00:00:07,2024-03-01 17:55:37,17.93
212255000,2024-03-01 17:37:53,2024-03-01 21:10:47,3.55
212376000,2024-03-01 00:02:27,2024-03-01 23:59:58,23.96
212385000,2024-03-01 04:23:04,2024-03-01 22:30:04,18.12
212530000,2024-03-01 07:57:16,2024-03-01 23:59:57,16.04
212617000,2024-03-01 00:07:18,2024-03-01 02:49:11,2.7
212878000,2024-03-01 00:02:39,2024-03-01 23:59:50,23.95
212900000,2024-03-01 00:03:30,2024-03-01 23:59:53,23.94
212949000,2024-03-01 00:05:54,2024-03-01 05:07:19,5.02
215609000,2024-03-01 02:06:21,2024-03-01 12:43:01,10.61
218044000,2024-03-01 16:03:36,2024-03-01 23:59:09,7.93
218176000,2024-03-01 09:20:36,2024-03-01 23:59:57,14.66
218412000,2024-03-01 00:03:35,2024-03-01 23:59:56,23.94
218615000,2024-03-01 21:08:53,2024-03-01 23:59:53,2.85
218627000,2024-03-01 18:16:34,2024-03-01 23:59:57,5.72
218801000,2024-03-01 00:00:08,2024-03-01 17:11:03,17.18
218802000,2024-03-01 13:41:24,2024-03-01 23:59:47,10.31
218816000,2024-03-01 21:43:08,2024-03-01 23:59:57,2.28
